film_title,film_year,book_title,book_year,book_author
The Alphabet Murders,1966,The A.B.C. Murders,1936,Agatha Christie
À ton image,2004,À ton image,1998,Louise L. Lambrichs
About a Boy,2002,About a Boy,1998,Nick Hornby
About Schmidt,2002,About Schmidt,1996,Louis Begley
Absolute Power,1997,Absolute Power,1996,David Baldacci
The Accidental Tourist,1988,The Accidental Tourist,1985,Anne Tyler
Across 110th Street,1972,Across 110th,1970,Wally Ferris
Abandon,2002,Adams Fall,2000,Sean Desmond
Paper Moon,1973,Addie Pray,1971,Joe David Brown
Green Tea,2003,Adiliya by the River,1999,Jin Renshun
Adolphe,2002,Adolphe,1816,Benjamin Constant
Adventure,1925,Adventure,1911,Jack London
The Adventurers,1970,The Adventurers,1966,Harold Robbins
The Adventures of Hajji Baba,1954,The Adventures of Hajji Baba of Ispahan,1824,James Justinian Morier
Huck and Tom,1918,Adventures of Huckleberry Finn,1884,Mark Twain
Huckleberry Finn,1920,Adventures of Huckleberry Finn,1884,Mark Twain
Huckleberry Finn,1931,Adventures of Huckleberry Finn,1884,Mark Twain
Huck Finn,1937,Adventures of Huckleberry Finn,1884,Mark Twain
The Adventures of Huckleberry Finn,1939,Adventures of Huckleberry Finn,1884,Mark Twain
The Adventures of Huckleberry Finn,1960,Adventures of Huckleberry Finn,1884,Mark Twain
Huckleberry Finn,1974,Adventures of Huckleberry Finn,1884,Mark Twain
Hopelessly Lost,1972,Adventures of Huckleberry Finn,1884,Mark Twain
Adventures of Huckleberry Finn,1985,Adventures of Huckleberry Finn,1884,Mark Twain
The Adventures of Mark Twain,1985,Adventures of Huckleberry Finn,1884,Mark Twain
The Adventures of Huck Finn,1993,Adventures of Huckleberry Finn,1884,Mark Twain
Tom and Huck,1995,Adventures of Huckleberry Finn,1884,Mark Twain
Tomato Sawyer and Huckleberry Larry's Big River Rescue,2008,Adventures of Huckleberry Finn,1884,Mark Twain
Pinocchio,1940,The Adventures of Pinocchio,1883,Carlo Collodi
The Adventures of Buratino,1959,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio in Outer Space,1965,The Adventures of Pinocchio,1883,Carlo Collodi
The Adventures of Pinocchio,1972,The Adventures of Pinocchio,1883,Carlo Collodi
The Adventures of Buratino,1975,The Adventures of Pinocchio,1883,Carlo Collodi
The Adventures of Pinocchio,1984,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio and the Emperor of the Night,1987,The Adventures of Pinocchio,1883,Carlo Collodi
964 Pinocchio,1991,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio,1992,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio's Revenge,1996,The Adventures of Pinocchio,1883,Carlo Collodi
The Adventures of Pinocchio,1996,The Adventures of Pinocchio,1883,Carlo Collodi
Geppetto,2000,The Adventures of Pinocchio,1883,Carlo Collodi
A.I. Artificial Intelligence,2001,The Adventures of Pinocchio,1883,Carlo Collodi
A Tree of Palme,2002,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio,2002,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio 3000,2004,The Adventures of Pinocchio,1883,Carlo Collodi
Pinocchio,2008,The Adventures of Pinocchio,1883,Carlo Collodi
Pistachio – The Little Boy That Woodn't,2010,The Adventures of Pinocchio,1883,Carlo Collodi
Tom Sawyer,1907,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,1917,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,1930,The Adventures of Tom Sawyer,1876,Mark Twain
The Adventures of Tom Sawyer,1938,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,1936,The Adventures of Tom Sawyer,1876,Mark Twain
The Adventures of Mark Twain,1944,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,1973,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,1984,The Adventures of Tom Sawyer,1876,Mark Twain
The Adventures of Mark Twain,1985,The Adventures of Tom Sawyer,1876,Mark Twain
Tom and Huck,1995,The Adventures of Tom Sawyer,1876,Mark Twain
Tom Sawyer,2000,The Adventures of Tom Sawyer,1876,Mark Twain
Advise & Consent,1962,Advise and Consent,1959,Allen Drury
The African Queen,1951,The African Queen,1935,C. S. Forester
"After Dark, My Sweet",1990,"After Dark, My Sweet",1955,Jim Thompson
Carlito's Way,1993,After Hours,1979,Edwin Torres
Murder at the Gallop,1963,After the Funeral,1953,Agatha Christie
The Age of Innocence,1924,The Age of Innocence,1921,Edith Wharton
